formula,E
AlZnCoFeNi,-2.245014026
Al2Zn3Co2FeNi2,-4.220604506
Al3Zn2Co2FeNi2,-2.299387706
Al2Zn2Co3FeNi2,-1.254092226
Al2Zn2Co2FeNi3,-0.691339796
AlZn3Co2Fe2Ni2,-3.437979461
AlZn2Co3Fe2Ni2,-0.560483611
AlZn2Co2Fe3Ni2,-1.373541206
AlZn2Co2Fe2Ni3,0.225636054
Al3ZnCo2Fe2Ni2,-0.189307526
Al2ZnCo3Fe2Ni2,0.951103094
Al2ZnCo2Fe3Ni2,-0.062350966
Al2ZnCo2Fe2Ni3,1.887216379
Al3Zn2CoFe2Ni2,-3.104456176
Al2Zn3CoFe2Ni2,-4.337591736
Al2Zn2CoFe3Ni2,-2.369923276
Al2Zn2CoFe2Ni3,-1.159455251
Al3Zn2Co2Fe2Ni,-3.740378971
Al2Zn3Co2Fe2Ni,-5.543935655
Al2Zn2Co3Fe2Ni,-2.602728876
Al2Zn2Co2Fe3Ni,-3.499017416
AlZnCo3Fe3Ni2,1.478408299
AlZnCo3Fe2Ni3,3.397248954
AlZnCo2Fe3Ni3,2.376562554
AlZn3CoFe3Ni2,-4.034671566
